period_start,district,crime_head,cases_reported,source_name,source_url,data_granularity,data_classification
2021-03-01,Hubballi-Dharwad,Theft,70,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Hubballi-Dharwad,Burglary,26,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Hubballi-Dharwad,Cyber Fraud,27,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Hubballi-Dharwad,Assault,21,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Hubballi-Dharwad,Robbery,8,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Hubballi-Dharwad,Murder,4,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Hubballi-Dharwad,Kidnapping,6,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Hubballi-Dharwad,Cheating,9,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Mangaluru,Theft,38,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Mangaluru,Burglary,23,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Mangaluru,Cyber Fraud,13,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Mangaluru,Assault,14,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Mangaluru,Robbery,9,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Mangaluru,Murder,3,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Mangaluru,Kidnapping,6,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Mangaluru,Cheating,6,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Kalaburagi,Theft,36,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Kalaburagi,Burglary,14,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Kalaburagi,Cyber Fraud,17,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Kalaburagi,Assault,14,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Kalaburagi,Robbery,7,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Kalaburagi,Murder,2,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Kalaburagi,Kidnapping,4,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-03-01,Kalaburagi,Cheating,5,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Bengaluru Urban,Theft,166,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Bengaluru Urban,Burglary,72,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Bengaluru Urban,Cyber Fraud,67,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Bengaluru Urban,Assault,48,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Bengaluru Urban,Robbery,22,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Bengaluru Urban,Murder,8,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Bengaluru Urban,Kidnapping,11,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Bengaluru Urban,Cheating,32,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mysuru,Theft,82,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mysuru,Burglary,39,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mysuru,Cyber Fraud,23,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mysuru,Assault,16,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mysuru,Robbery,18,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mysuru,Murder,5,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mysuru,Kidnapping,5,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mysuru,Cheating,11,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Hubballi-Dharwad,Theft,40,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Hubballi-Dharwad,Burglary,30,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Hubballi-Dharwad,Cyber Fraud,25,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Hubballi-Dharwad,Assault,13,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Hubballi-Dharwad,Robbery,11,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Hubballi-Dharwad,Murder,3,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Hubballi-Dharwad,Kidnapping,5,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Hubballi-Dharwad,Cheating,11,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mangaluru,Theft,42,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mangaluru,Burglary,18,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mangaluru,Cyber Fraud,18,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mangaluru,Assault,17,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mangaluru,Robbery,8,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mangaluru,Murder,2,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mangaluru,Kidnapping,6,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Mangaluru,Cheating,8,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Kalaburagi,Theft,34,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Kalaburagi,Burglary,17,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Kalaburagi,Cyber Fraud,11,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Kalaburagi,Assault,10,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Kalaburagi,Robbery,7,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Kalaburagi,Murder,2,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Kalaburagi,Kidnapping,3,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-04-01,Kalaburagi,Cheating,5,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Bengaluru Urban,Theft,106,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Bengaluru Urban,Burglary,75,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Bengaluru Urban,Cyber Fraud,48,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Bengaluru Urban,Assault,59,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Bengaluru Urban,Robbery,38,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Bengaluru Urban,Murder,7,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Bengaluru Urban,Kidnapping,13,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Bengaluru Urban,Cheating,28,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mysuru,Theft,55,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mysuru,Burglary,25,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mysuru,Cyber Fraud,34,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mysuru,Assault,23,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mysuru,Robbery,14,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mysuru,Murder,5,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mysuru,Kidnapping,8,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mysuru,Cheating,9,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Hubballi-Dharwad,Theft,40,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Hubballi-Dharwad,Burglary,25,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Hubballi-Dharwad,Cyber Fraud,20,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Hubballi-Dharwad,Assault,17,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Hubballi-Dharwad,Robbery,13,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Hubballi-Dharwad,Murder,3,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Hubballi-Dharwad,Kidnapping,7,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Hubballi-Dharwad,Cheating,7,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
2021-05-01,Mangaluru,Theft,42,Karnataka Crime Review (Sample),https://data.gov.in/catalog/crime-review-karnataka,monthly,public_aggregate_sample
